Time;Title;Description;Percentage
12000;Agriculture revolution;Fin de última era glacial. Revolución agrícola. Domesticación de plantas y animales. Asentamientos permanentes;0
8000;Cities;Creación de primeras ciudades;0,33
6000;Writing;Se desarrolla la escritura;0,5
2000;Christ;Imperio Han en China. Imperio Romano en el Mediterráneo. Cristianismo;0,8333
500;Science;Revolución científica. Conquista de América por parte de Europeos. Capitalismo;0,9583
