Time;Title;Description;Percentage
13800000000;BigBang;Big bang;0
4600000000;Solar System;Nuestro sistema solar empieza a formarse;0,666666667
3770000000;Life hydrothermal vents;Vida alrededor de fuentes/fumarolas marinas;0,726811594
3180000000;Bacteria invade land;Bacterias invaden la superficie terrestre;0,769565217
1200000000;Multicellular life;Primer organismo multicelular;0,913043478
225000000;Mammals;Mamíferos;0,983695652
